"","V1","V2","V3","V4"
"457",NA,11350,24000,13800
"458",NA,16500,10000,32000
"459",NA,26000,16300,25000
"460",NA,8625,10100,15000
"461",NA,14400,18400,4000
"462",NA,15000,8000,12800
"463",NA,13300,25000,18000
"464",NA,12350,15000,6000
"465",NA,22125,6800,8000
"466",NA,21250,18250,8000
"467",NA,13200,21000,12000
"468",NA,8575,5000,30000
"469",NA,10000,15000,5000
"470",NA,5000,12000,10925
"471",NA,16000,31575,28000
"472",NA,23600,20000,7200
"473",NA,5600,13225,12150
"474",NA,35000,7200,10000
"475",NA,14225,15750,30000
"476",NA,15000,4000,3125
"477",NA,5000,16000,14500
"478",NA,8000,20000,7000
"479",NA,10500,15000,8000
"480",NA,12800,2500,12000
"481",NA,13000,17600,10000
"482",NA,11200,10000,15000
"483",NA,17000,32000,14000
"484",NA,5000,23500,8000
"485",NA,24000,13000,18000
"486",NA,10000,30000,25000
"487",NA,4000,16000,10000
"488",NA,15325,25000,10000
"489",NA,15000,25700,35000
"490",NA,20000,28000,9600
"491",NA,7000,24000,1200
"492",NA,12500,16000,9250
"493",NA,5000,19200,15000
"494",NA,6000,25000,3850
"495",NA,7400,10000,6600
"496",NA,5000,3600,18500
"497",NA,7500,15000,15000
"498",NA,10000,8000,23550
"499",NA,10625,3200,20000
"500",NA,20000,14000,18000
"501",NA,27300,3500,14000
"502",NA,4500,20000,20000
"503",NA,10000,13000,19750
"504",NA,20000,15000,4850
"505",NA,10000,21000,10000
"506",NA,16000,10000,35000
"507",NA,35000,24500,16000
"508",NA,19225,17000,10800
"509",NA,28000,11950,15000
"510",NA,9600,15000,14125
"511",NA,24000,17075,21000
"512",NA,7000,16000,27300
"513",NA,9000,10000,5200
"514",NA,28525,24350,18075
"515",NA,15000,4625,18000
"516",NA,9600,10000,35000
"517",NA,10000,24000,11000
"518",NA,27375,11000,9750
"519",NA,18000,10000,24000
"520",NA,13000,10050,10000
"521",NA,7200,10000,15000
"522",NA,35000,28000,8000
"523",NA,16000,5000,9350
"524",NA,23375,8000,14725
"525",NA,6775,6000,6000
"526",NA,18000,16000,20000
"527",NA,17600,7000,20000
"528",NA,9500,35000,32000
"529",NA,7275,34950,31325
"530",NA,10000,30000,4500
"531",NA,10800,2000,7625
"532",NA,16000,6450,35000
"533",NA,5600,16000,9600
"534",NA,17000,25000,13750
"535",NA,15400,29975,15800
"536",NA,35000,18900,16800
"537",NA,6000,8000,12000
"538",NA,24925,28000,20000
"539",NA,5000,5600,11700
"540",NA,10000,30000,27000
"541",NA,29175,12000,10000
"542",NA,10000,9000,15000
"543",NA,24000,17500,5000
"544",NA,32400,15775,25000
"545",NA,10000,15000,18000
"546",NA,13500,5600,15000
