date,title,intro,author,url
1652359627,uwe tellkamp und sein neuer roman der schlaf in den uhren so viel hass ekel abrechnung moral,"Leser und Kritik lagen Uwe Tellkamp zu Füßen, dann driftete er nach rechts ab. Jetzt erscheint nach  Jahren die Fortsetzung von »Der Turm« – und man fragt sich: Was hat ihn nur so ruiniert?",['Xaver von Cranach'],https://www.spiegel.de/kultur/literatur/uwe-tellkamp-und-sein-neuer-roman-der-schlaf-in-den-uhren-so-viel-hass-ekel-abrechnung-moral-a-589d2d69-e1ee-46f7-b754-f77c98bde9f4
1652332269,krieg in der ukraine russland und die ukraine sollen streumunition eingesetzt haben,"Die territoriale Integrität – einschließlich des Donbass und der Krim – solle wiederhergestellt werden, sagt der ukrainische Außenminister Kuleba. Und: Die Uno fordert ein Ende der Bombardierung von Schulen. Das waren die News am . Mai.",,https://www.spiegel.de/ausland/krieg-in-der-ukraine-russland-und-die-ukraine-sollen-streumunition-eingesetzt-haben-a-9fc71de1-da92-4d86-ab59-1c6c558e7bd2
1652329093,news ukraine krieg corona krise klimapolitik friedrich merz raul krauthausen,Der neue CDU-Chef arbeitet nur mit den besten Leuten – von Angela Merkel. Im Bundestag wird die deutsche Seite des Krieges behandelt. Und die Umweltministerin darf sich für einen Tag um das Klima kümmern. Das ist die Lage am Donnerstag.,['Melanie Amann'],https://www.spiegel.de/politik/deutschland/news-ukraine-krieg-corona-krise-klimapolitik-friedrich-merz-raul-krauthausen-a-83200ac5-5953-4b30-ad92-1d0dfeabeee4
1652306760,emilia fester die gruenen letztendlich opfere ich auch meine eigene jugend fuer diesen job auf,Die Grünenpolitikerin taucht mit dem Longboard bei Terminen auf und hat von Angela Merkel eine Ghettofaust bekommen: Emilia Fester ist die jüngste Abgeordnete im Bundestag. Warum für sie ihr Alter nicht nur ein Privileg ist.,['Sophie Garbe'],https://www.spiegel.de/politik/deutschland/emilia-fester-die-gruenen-letztendlich-opfere-ich-auch-meine-eigene-jugend-fuer-diesen-job-auf-a-13d00e88-65ee-4654-a307-9b85d782a1ad
1652260620,ukraine krieg joe biden ruestet ab aber nur verbal,Der US-Präsident zeigt sich im Konflikt mit Putin zurückhaltender denn je – und erinnert damit an den deutschen Kanzler. Mit den Verbündeten will er nach einem möglichen Kompromiss zwischen Moskau und Kiew suchen.,"['Matthias Gebauer', 'Roland Nelles']",https://www.spiegel.de/ausland/ukraine-krieg-joe-biden-ruestet-ab-aber-nur-verbal-a-357ea10f-aa86-4ce6-bfd9-f3fe9301c20c
1652196120,winfried kretschmann ministerpraesident verteidigt thomas strobl,Baden-Württembergs Ministerpräsident Kretschmann hat seinen angeschlagenen Innenminister Strobl verteidigt. Dabei stellte der Grünenpolitiker auch gleich seine Deutschkenntnisse zur Schau.,,https://www.spiegel.de/politik/deutschland/winfried-kretschmann-ministerpraesident-verteidigt-thomas-strobl-a-9c0e64da-761c-42a0-b501-d359886c1ae2
1652104702,china olaf scholz spricht mit xi jinping ueber ukrainekrieg,"Der Austausch sei »tiefgehend und freimütig« gewesen, heißt es aus Peking: Bundeskanzler Scholz hat per Videoschalte mit Chinas Staatschef Xi gesprochen. Hauptthema war Russlands Angriff auf die Ukraine.",,https://www.spiegel.de/politik/deutschland/china-olaf-scholz-spricht-mit-xi-jinping-ueber-ukrainekrieg-a-23f5db73-680f-4f94-afd2-6a12a7c3beb6
1652067682,news wladimir putin daniel guenther olaf scholz jill biden,Rätselraten über Rede des russischen Präsidenten zum . Mai in Moskau. Kanzler Scholz trifft Präsident Macron. Und: Daniel Günther ist der neue CDU-Liebling. Das ist die Lage am Montag.,['Roland Nelles'],https://www.spiegel.de/politik/deutschland/news-wladimir-putin-daniel-guenther-olaf-scholz-jill-biden-a-30646837-14ef-4cf0-af74-afc363f8510a
1652047500,petersburger dialog talk ohne gast,"Der »Petersburger Dialog« wurde einst von Putin und Schröder gegründet, um die Völker ins Gespräch zu bringen. Seit dem Ukrainekrieg herrscht Stille. Jetzt streiten die Deutschen nur noch mit sich selbst. Über Russland.",['Alexander Osang'],https://www.spiegel.de/panorama/petersburger-dialog-talk-ohne-gast-a-b5e54297-89dc-49d2-b365-ced95be2e17a
1652039345,daniel guenther und der wahl sieg in schleswig holstein der triumphator,In der Stunde des Erfolgs bedankt sich Daniel Günther bei seinen bisherigen Jamaikapartnern für ihren Anteil am CDU-Wahlsieg. Einen von beiden wird der alte und neue Ministerpräsident wohl trotzdem fallen lassen.,['Ansgar Siemens'],https://www.spiegel.de/politik/deutschland/daniel-guenther-und-der-wahl-sieg-in-schleswig-holstein-der-triumphator-a-e37048ef-8a04-4186-aa28-7e5e28e57edc
1652039066,cdu sieg bei landtagswahl in schleswig holstein alte feinde neue freunde,"Für die CDU ist das Ergebnis im Norden ein Traum: stärkste Kraft, große Zugewinne. Und für Parteichef Friedrich Merz ist es ein wichtiger Meilenstein. Zu verdanken hat er ihn ausgerechnet einem alten Kontrahenten.",['Sophie Garbe'],https://www.spiegel.de/politik/deutschland/cdu-sieg-bei-landtagswahl-in-schleswig-holstein-alte-feinde-neue-freunde-a-f43d02cf-afb1-427c-9e15-6e7d07e454d6
1652034180,olaf scholz rede zum  mai engagierte beiseitesteherei kommentar,Bundeskanzler Scholz betont in seiner Rede zum . Mai die deutschen Interessen. Für den Kampf der Ukraine findet er keine empathischen Worte.,['Dirk Kurbjuweit'],https://www.spiegel.de/politik/deutschland/olaf-scholz-rede-zum-8-mai-engagierte-beiseitesteherei-kommentar-a-e20305bc-48db-4310-bb2f-15a66aa492aa
1652012739,christian lindner will hoch verschuldete kommunen rasch entlasten,Der Bund soll die hohen Schuldenberge mancher Städte und Gemeinden schrumpfen – darauf hat sich die Ampel im Koalitionsvertrag geeinigt. Finanzminister Lindner macht nun Tempo. Er fürchtet die Folgen steigender Zinsen.,,https://www.spiegel.de/wirtschaft/christian-lindner-will-hoch-verschuldete-kommunen-rasch-entlasten-a-3a858290-cd20-49ab-8fb2-8c847357b229
